,gilbert_number,input_form,target_form
0,1,a hairbrush ,die haarbuerste
1,2,He's running now. ,er laeuft jetzt
2,3,two goats ,zwei ziegen
3,4,one apple ,ein apfel
4,5,icicles ,eiszapfen
5,6,the cooking pot ,der kochtopf
6,7,my head ,mein kopf
7,8,the door ,die tuer
8,9,The table is broken. ,der tisch ist kaputt
9,10,The animal died out in the pasture.,das tier ist auf dem feld gestorben
10,11,The animal died out in the pasture. ,das tier ist auf dem feld gestorben
11,12,It is too dry this year. ,es ist zu trocken dieses jahr
12,13,water faucet ,wasserhahn
13,14,Thursday ,donnerstag
14,15,He took the most sausage. ,er hat am meisten wurst genommen
15,16,a hairbrush ,eine haarbuerste
16,17,the door ,die tuer
17,18,two daughters ,zwei toechter
18,19,sweet potatoes (lpomoea batatas) ,suesskartoffeln
19,20,two cooking pots ,zwei kochtoepfe
20,21,a hairbrush ,eine haarbuerste
21,22,This chicken has long feathers. ,das huhn hat lange federn
22,23,It's lying down there on the floor. ,es liegt da unten auf dem boden
23,24,the red ants that sting ,die roten ameisen die beissen
24,25,my head ,mein kopf
25,26,milk ,milch
26,27,The animal died out in the pasture.,das tier ist auf dem feld gestorben
27,28,We went with her. ,wir sind mit ihr gegangen
28,29,Who did we see? ,wen haben wir gesehen
29,30,He came with me. ,er ist mit mir gekommen
30,31,He's helping me now. ,er hilft mir jetzt
31,32,The little children see her. ,die kleinen kinder sehen sie
32,33,Give her two (pieces)! ,gib ihr zwei stuecke
33,34,We went with her. ,wir sind mit ihr gegangen
34,35,The picture belongs to them. ,das bild gehoert ihnen
35,36,Who did we see? ,wen haben wir gesehen
36,37,There's the man who I want to see. ,das ist der mann den ich sehen wollte
37,38,There are the children who I gave the candy to. ,da sind die kinder denen ich die suessigkeiten gegeben habe
38,39,This is my chair. ,das ist mein stuhl
39,40,It is too dry this year. ,es ist zu trocken dieses jahr
40,41,This chicken has long feathers.,das huhn hat lange federn
41,42,The dog bit that bad man. ,der hund hat diesen boesen mann gebissen
42,43,The dog bit the bad man. ,der hund hat diesen boesen mann gebissen
43,44,The little children see her. ,die kleinen kinder sehen sie
44,45,the red ants that sting ,die roten ameisen die beissen
45,46,There is something in your left eye. ,da ist was in deinem linken auge
46,47,Boil that egg in hot water! ,koch das ei in heissem wasser
47,48,a bad dream ,ein schlechter traum
48,49,This chicken has long feathers.,das huhn hat lange federn
49,50,Hang the picture over the bed! ,haeng das bild ueber das bett
50,51,The picture hangs over the bed. ,das bild haengt ueber dem bett
51,52,He's putting the chair under the tree. ,er stellt den stuhl unter den baum
52,53,He's sitting under the tree. ,er sitzt unter dem baum
53,54,He's putting the chair beside the tree. ,er stellt den stuhl neben den baum
54,55,He's sitting over there beside the tree. ,er sitzt da drueben neben dem baum
55,56,Put it on the floor! ,stell es auf den boden
56,57,It's lying down there on the floor. ,es liegt da unten auf dem boden
57,58,He goes into the room. ,er geht in das zimmer
58,59,He is already in the room. ,er ist schon in im zimmer
59,60,The animal died out in the pasture.,das tier ist auf dem feld gestorben
60,61,two windows ,zwei fenster
61,62,two rooms ,zwei raeume
62,63,two plates ,zwei teller
63,64,two wagons ,zwei wagen
64,65,two boys ,zwei jungen
65,66,two goats ,zwei ziegen
66,67,This chicken has long feathers. ,das huhn hat lange federn
67,68,two cows ,zwei kuehe
68,69,two gardens ,zwei gaerten
69,70,two daughters ,zwei toechter
70,71,Two heads are better than one. ,zwei koepfe sind besser als einer
71,72,Two heads are better than one.,zwei koepfe sind besser als einer
72,73,Two heads are better than one.,zwei koepfe sind besser als einer
73,74,the honey ,der honig
74,75,the door ,die tuer
