row,id,gilbert_number,input_form,target_form,transcription,items
0,0,1,a hairbrush ,die haarbuerste,diː haːɐ̯ˈbʏʁstə,2
1,1,2,He's running now. ,er laeuft jetzt,eːɐ̯ lɔɪ̯ft jɛʦt,3
2,2,3,two goats ,zwei ziegen,ʦvaɪ̯ ˈʦiːɡən,2
3,3,4,one apple ,ein apfel,aɪ̯n ˈapfl̩,2
4,4,5,icicles ,eiszapfen,ˈaɪ̯sˌʦapfən,1
5,5,6,the cooking pot ,der kochtopf,deːɐ̯ ˈkɔχˌtɔpf,2
6,6,7,my head ,mein kopf,maɪ̯n kɔpf,2
7,7,8,the door ,die tuer,diː tyːɐ̯,2
8,8,9,The table is broken. ,der tisch ist kaputt,deːɐ̯ tɪʃ ɪst kaˈpʊt,4
9,9,10,The animal died out in the pasture.,das tier ist auf dem feld gestorben,das tɪə ɪst aʊ̯f deːm fɛlt ɡəˈʃtɔʁbm̩,7
10,10,11,The animal died out in the pasture. ,das tier ist auf dem feld gestorben,das tɪə ɪst aʊ̯f deːm fɛlt ɡəˈʃtɔʁbm̩,7
11,11,12,It is too dry this year. ,es ist zu trocken dieses jahr,ɛs ɪst ʦuː ˈtʀɔkn̩ ˈdiːzəs jaːɐ̯,6
12,12,13,water faucet ,wasserhahn,ˈvasɐˌhaːn,1
13,13,14,Thursday ,donnerstag,ˈdɔnɐstaːk,1
14,14,15,He took the most sausage. ,er hat am meisten wurst genommen,eːɐ̯ hat am ˈmaɪ̯stn̩ vʊʁst ɡəˈnɔmən,6
15,15,16,a hairbrush ,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,2
16,16,17,the door ,die tuer,diː tyːɐ̯,2
17,17,18,two daughters ,zwei toechter,ʦvaɪ̯ ˈtœçtɐ,2
18,18,19,sweet potatoes (lpomoea batatas) ,suesskartoffeln,zyːskaʁˈtɔfl̩n,1
19,19,20,two cooking pots ,zwei kochtoepfe,ʦvaɪ̯ ˈkɔχˌtœpfə,2
20,20,21,a hairbrush ,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,2
21,21,22,This chicken has long feathers. ,das huhn hat lange federn,das huːn hat ˈlaŋə ˈfeːdɐn,5
22,22,23,It's lying down there on the floor. ,es liegt da unten auf dem boden,ɛs liːkt daː ˈʊntn̩ aʊ̯f deːm ˈboːdn̩,7
23,23,24,the red ants that sting ,die roten ameisen die beissen,diː ʀoːtn̩ ˈaːmaɪ̯zn̩ diː ˈbaɪ̯sn̩,5
24,24,25,my head ,mein kopf,maɪ̯n kɔpf,2
25,25,26,milk ,milch,mɪlç,1
26,26,27,The animal died out in the pasture.,das tier ist auf dem feld gestorben,das tɪə ɪst aʊ̯f deːm fɛlt ɡəˈʃtɔʁbm̩,7
27,27,28,We went with her. ,wir sind mit ihr gegangen,viːɐ̯ zɪnt mɪt iːɐ̯ ɡəˈɡaŋən,5
28,28,29,Who did we see? ,wen haben wir gesehen,veːn ˈhaːbən viːɐ̯ ɡəˈzeːən,4
29,29,30,He came with me. ,er ist mit mir gekommen,eːɐ̯ ɪst mɪt miːɐ̯ ɡəˈkɔmən,5
30,30,31,He's helping me now. ,er hilft mir jetzt,eːɐ̯ hɪlft miːɐ̯ jɛʦt,4
31,31,32,The little children see her. ,die kleinen kinder sehen sie,diː ˈklaɪ̯nən ˈkɪndɐ ˈzeːən ziː,5
32,32,33,Give her two (pieces)! ,gib ihr zwei stuecke,ɡiːp iːɐ̯ ʦvaɪ̯ ˈʃtʏkə,4
33,33,34,We went with her. ,wir sind mit ihr gegangen,viːɐ̯ zɪnt mɪt iːɐ̯ ɡəˈɡaŋən,5
34,34,35,The picture belongs to them. ,das bild gehoert ihnen,das bɪlt ɡəˈhøːɐ̯t ˈiːnən,4
35,35,36,Who did we see? ,wen haben wir gesehen,veːn ˈhaːbən viːɐ̯ ɡəˈzeːən,4
36,36,37,There's the man who I want to see. ,das ist der mann den ich sehen wollte,das ɪst deːɐ̯ manː deːn ɪç ˈzeːən ˈvɔltə,8
37,37,38,There are the children who I gave the candy to. ,da sind die kinder denen ich die suessigkeiten gegeben habe,daː zɪnt diː ˈkɪndɐ ˈdeːnən ɪç diː ˈzyːsɪçˌkaɪ̯tn̩ ɡəˈɡeːbn̩ ˈhaːbə,10
38,38,39,This is my chair. ,das ist mein stuhl,das ɪst maɪ̯n ʃtuːl,4
39,39,40,It is too dry this year. ,es ist zu trocken dieses jahr,ɛs ɪst ʦuː ˈtʀɔkn̩ ˈdiːzəs jaːɐ̯,6
40,40,41,This chicken has long feathers.,das huhn hat lange federn,das huːn hat ˈlaŋə ˈfeːdɐn,5
41,41,42,The dog bit that bad man. ,der hund hat diesen boesen mann gebissen,deːɐ̯ hʉnt hat ˈdiːzən ˈbøːzn̩ manː ɡəˈbɪsn̩,7
42,42,43,The dog bit the bad man. ,der hund hat diesen boesen mann gebissen,deːɐ̯ hʉnt hat ˈdiːzən ˈbøːzn̩ manː ɡəˈbɪsn̩,7
43,43,44,The little children see her. ,die kleinen kinder sehen sie,diː ˈklaɪ̯nən ˈkɪndɐ ˈzeːən ziː,5
44,44,45,the red ants that sting ,die roten ameisen die beissen,diː ʀoːtn̩ ˈaːmaɪ̯zn̩ diː ˈbaɪ̯sn̩,5
45,45,46,There is something in your left eye. ,da ist was in deinem linken auge,daː ɪst vas ɪn ˈdaɪ̯nəm ˈlɪŋkn̩ ɔʒ,7
46,46,47,Boil that egg in hot water! ,koch das ei in heissem wasser,kɔχ das aɪ̯ ɪn haɪ̯səm ˈvasɐ,6
47,47,48,a bad dream ,ein schlechter traum,aɪ̯n ˈʃlɛçtɐ tʀaʊ̯m,3
48,48,49,This chicken has long feathers.,das huhn hat lange federn,das huːn hat ˈlaŋə ˈfeːdɐn,5
49,49,50,Hang the picture over the bed! ,haeng das bild ueber das bett,hɛŋ das bɪlt ˈyːbɐ das ˈbɛt,6
50,50,51,The picture hangs over the bed. ,das bild haengt ueber dem bett,das bɪlt hɛŋt ˈyːbɐ deːm ˈbɛt,6
51,51,52,He's putting the chair under the tree. ,er stellt den stuhl unter den baum,eːɐ̯ ʃtɛlt deːn ʃtuːl ˈʊntɐ deːn baʊ̯m,7
52,52,53,He's sitting under the tree. ,er sitzt unter dem baum,eːɐ̯ zɪʦt ˈʊntɐ deːm baʊ̯m,5
53,53,54,He's putting the chair beside the tree. ,er stellt den stuhl neben den baum,eːɐ̯ ʃtɛlt deːn ʃtuːl ˈneːbm̩ deːn baʊ̯m,7
54,54,55,He's sitting over there beside the tree. ,er sitzt da drueben neben dem baum,eːɐ̯ zɪʦt daː dʀyːbn̩ ˈneːbm̩ deːm baʊ̯m,7
55,55,56,Put it on the floor! ,stell es auf den boden,ʃtɛl ɛs aʊ̯f deːn ˈboːdn̩,5
56,56,57,It's lying down there on the floor. ,es liegt da unten auf dem boden,ɛs liːkt daː ˈʊntn̩ aʊ̯f deːm ˈboːdn̩,7
57,57,58,He goes into the room. ,er geht in das zimmer,eːɐ̯ ɡeːt ɪn das ˈʦɪmɐ,5
58,58,59,He is already in the room. ,er ist schon in im zimmer,eːɐ̯ ɪst ʃoːn ɪn ɪm ˈʦɪmɐ,6
59,59,60,The animal died out in the pasture.,das tier ist auf dem feld gestorben,das tɪə ɪst aʊ̯f deːm fɛlt ɡəˈʃtɔʁbm̩,7
60,60,61,two windows ,zwei fenster,ʦvaɪ̯ ˈfɛnstɐ,2
61,61,62,two rooms ,zwei raeume,ʦvaɪ̯ ˈʀɔɪ̯mə,2
62,62,63,two plates ,zwei teller,ʦvaɪ̯ ˈtɛlə,2
63,63,64,two wagons ,zwei wagen,ʦvaɪ̯ ˈvaːɡn̩,2
64,64,65,two boys ,zwei jungen,ʦvaɪ̯ ˈjʊŋən,2
65,65,66,two goats ,zwei ziegen,ʦvaɪ̯ ˈʦiːɡən,2
66,66,67,This chicken has long feathers. ,das huhn hat lange federn,das huːn hat ˈlaŋə ˈfeːdɐn,5
67,67,68,two cows ,zwei kuehe,ʦvaɪ̯ ˈkyːə,2
68,68,69,two gardens ,zwei gaerten,ʦvaɪ̯ ˈɡɛːʁtn̩,2
69,69,70,two daughters ,zwei toechter,ʦvaɪ̯ ˈtœçtɐ,2
70,70,71,Two heads are better than one. ,zwei koepfe sind besser als einer,ʦvaɪ̯ ˈkœpfə zɪnt ˈbɛsɐ als ˈaɪ̯nɐ,6
71,71,72,Two heads are better than one.,zwei koepfe sind besser als einer,ʦvaɪ̯ ˈkœpfə zɪnt ˈbɛsɐ als ˈaɪ̯nɐ,6
72,72,73,Two heads are better than one.,zwei koepfe sind besser als einer,ʦvaɪ̯ ˈkœpfə zɪnt ˈbɛsɐ als ˈaɪ̯nɐ,6
73,73,74,the honey ,der honig,deːɐ̯ ˈhoːnɪç,2
74,74,75,the door ,die tuer,diː tyːɐ̯,2
75,75,76,His coughing is getting worse and worse. ,sein husten wird immer schlimmer,zaɪ̯n ˈhuːstən vɪʁt ˈɪmɐ …,5
76,76,77,He's helping me now. ,er hilft mir jetzt,eːɐ̯ hɪlft miːɐ̯ jɛʦt,4
