Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
0,1948,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-134-2-16-a.wav,f,16,9-134-2-16-a.wav,a hairbrush ,9,bulverde,ʁ,b,134,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-16-a.wav,f,16,9-151-1-16-a.wav,a hairbrush ,9,bulverde,ʁ,b,151,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,9-151-1-16-a,ʏ,0.895,1.013,0.118,0.934,182.27,521.25,1840.65,2688.54,0.973,90.77,591.17,1816.14,2606.37,5500 Hz,10,
2,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/120-449-2-16-a.wav,f,16,120-449-2-16-a.wav,a hairbrush ,120,columbus,ʁ,b,449,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,120-449-2-16-a,ʏ,0.759,0.864,0.105,0.794,410.41,419.93,2188.28,2637.81,0.829,493.87,472.38,2028.13,2516.30,5500 Hz,10,
3,1926,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/121-453-2-16-a.wav,f,16,121-453-2-16-a.wav,a hairbrush ,121,columbus,ʁ,b,453,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-16-a.wav,m,16,1-141-2-16-a.wav,a hairbrush ,1,comfort,ʁ,b,141,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/102-395-2-16-a.wav,m,16,102-395-2-16-a.wav,a hairbrush ,102,converse,ʁ,b,395,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,102-395-2-16-a,ʏ,0.573,0.725,0.152,0.624,183.64,402.19,1723.03,2003.27,0.674,181.09,517.98,903.13,1767.19,5500 Hz,10,
6,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/60-445-2-16-a.wav,f,16,60-445-2-16-a.wav,a hairbrush ,60,"converse, tx",ʁ,b,445,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,60-445-2-16-a,ʏ,0.757,0.891,0.134,0.802,93.05,507.42,2070.45,2448.59,0.847,94.28,573.56,1859.70,2389.02,5500 Hz,10,
7,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-176-1-16-a.wav,m,16,17-176-1-16-a.wav,a hairbrush ,17,doss,ʁ,b,176,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,17-176-1-16-a,ʏ,0.510,0.553,0.043,0.524,114.90,554.08,1710.04,2078.55,0.538,110.66,586.17,1662.84,2092.64,5500 Hz,10,
8,1934,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-177-1-16-a.wav,m,16,17-177-1-16-a.wav,a hairbrush ,17,doss,ʁ,b,177,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-178-2-16-a.wav,m,16,17-178-2-16-a.wav,a hairbrush ,17,doss,ʁ,b,178,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,17-178-2-16-a,ʏ,0.327,0.415,0.088,0.356,--undefined--,492.07,1599.76,2025.27,0.386,75.57,527.11,1536.25,1968.40,5500 Hz,10,
