Dur,End,File/Spkr,MaxFormants,Notes,NumberPoles,Start,Unnamed: 0,Unnamed: 0.1,Vowel,dob,file_name,gF1,gF2,gF3,gPitch,gTime,gender,gilbert_number,id,input_form,iver_number,location,oF1,oF2,oF3,oPitch,oTime,post_sound,pre_sound,speaker_number,target_form,transcription,variable
0.136,0.573,10-139-2-1-a,5500 Hz,NA,10.0,0.436,0,0.0,ʏ,1941,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-1-a.wav,613.64,1579.34,2164.55,88.44,0.527,m,1,10-139-2-1-a.wav,a hairbrush ,10,bulverde,519.0,1894.37,2526.94,89.31,0.482,ʁ,b,139,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,1,1.0,NA,1948,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-134-2-1-a.wav,NA,NA,NA,NA,NA,f,1,9-134-2-1-a.wav,a hairbrush ,9,bulverde,NA,NA,NA,NA,NA,ʁ,b,134,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.106,1.035,9-151-1-1-a,5500 Hz,NA,10.0,0.929,2,2.0,ʏ,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-1-a.wav,616.08,1684.74,2533.88,87.03,1.0,f,1,9-151-1-1-a.wav,a hairbrush ,9,bulverde,583.5,1866.61,2563.61,90.29,0.964,ʁ,b,151,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,3,3.0,NA,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-1-a.wav,NA,NA,NA,NA,NA,m,1,9-153-1-1-a.wav,a hairbrush ,9,bulverde,NA,NA,NA,NA,NA,ʁ,b,153,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.098,1.09,120-449-2-1-a,5500 Hz,NA,10.0,0.992,4,4.0,ʏ,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/120-449-2-1-a.wav,394.77,2250.46,2823.97,186.56,1.057,f,1,120-449-2-1-a.wav,a hairbrush ,120,columbus,405.46,2200.92,2878.98,192.27,1.025,ʁ,b,449,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,5,5.0,NA,1926,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/121-453-2-1-a.wav,NA,NA,NA,NA,NA,f,1,121-453-2-1-a.wav,a hairbrush ,121,columbus,NA,NA,NA,NA,NA,ʁ,b,453,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,6,6.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-141-2-1-a.wav,a hairbrush ,1,comfort,NA,NA,NA,NA,NA,ʁ,b,141,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,7,7.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-142-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-142-2-1-a.wav,a hairbrush ,1,comfort,NA,NA,NA,NA,NA,ʁ,b,142,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.08,0.229,10-147-1-1-a,5500 Hz,NA,10.0,0.149,8,8.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-147-1-1-a.wav,445.49,1723.07,2259.87,--undefined--,0.203,m,1,10-147-1-1-a.wav,a hairbrush ,10,comfort,385.85,1901.44,2280.65,--undefined--,0.176,ʁ,b,147,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,9,9.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-149-1-1-a.wav,NA,NA,NA,NA,NA,m,1,10-149-1-1-a.wav,a hairbrush ,10,comfort,NA,NA,NA,NA,NA,ʁ,b,149,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.113,0.813,1-391-2-1-a,5500 Hz,NA,10.0,0.7,10,10.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/1-391-2-1-a.wav,522.1,1626.04,2305.83,128.44,0.776,m,1,1-391-2-1-a.wav,a hairbrush ,1,converse,460.56,1932.02,2361.05,139.10,0.738,ʁ,b,391,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,11,11.0,NA,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/1-392-1-1-a.wav,NA,NA,NA,NA,NA,m,1,1-392-1-1-a.wav,a hairbrush ,1,converse,NA,NA,NA,NA,NA,ʁ,b,392,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.099,0.493,102-395-2-1-a,5500 Hz,NA,10.0,0.394,12,12.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/102-395-2-1-a.wav,448.58,1478.11,1987.61,168.83,0.46,m,1,102-395-2-1-a.wav,a hairbrush ,102,converse,410.53,1692.38,2046.97,151.65,0.427,ʁ,b,395,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
