,oTime,End,file_name,oF2,Start,oF1,Dur,gilbert_number,oF3_mean,NumberPoles,Unnamed: 0,iver_number,post_sound,transcription,speaker_number,oF1_mean,id,location,Vowel,target_form,gTime,oF2_mean,oPitch,gPitch,oF3_oF1_coords,Notes,File/Spkr,input_form,variable,MaxFormants,oF3,dob,gender,pre_sound,gF1,gF2,gF3,oF2_oF1_coords
24,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-24-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-24-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-24-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-24-2-125-a.wav']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[1, 111, 125, 125]",,"[nan, nan, nan, nan]","[70, 54, 42, 42]","[1, 1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",24,,"['1-24-2-1-a.wav', '1-24-2-111-a.wav', '1-24-2-125-a.wav', '1-24-2-125-a.wav']",new braunfels,"[nan, nan, nan, nan]","['die haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan, nan]",,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan]","[nan, nan, nan, nan]",1915,m,"['b', 'v', 'k', 'k']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)"
25,"[0.92200000000000004, 0.68700000000000006, nan, nan, nan]","[0.97599999999999998, 0.754, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-25-3-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-25-3-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-25-3-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-25-3-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-25-3-125-a.wav']","[1595.9400000000001, 1576.28, nan, nan, nan]","[0.89500000000000002, 0.65300000000000002, nan, nan, nan]","[476.49000000000001, 530.38, nan, nan, nan]","[0.08199999999999999, 0.10099999999999999, nan, nan, nan]","[1, 16, 111, 125, 125]",2442.235,"[10.0, 10.0, nan, nan, nan]","[71, 33, 55, 43, 43]","[1, 1, 1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",25,503.435,"['1-25-3-1-a.wav', '1-25-3-16-a.wav', '1-25-3-111-a.wav', '1-25-3-125-a.wav', '1-25-3-125-a.wav']",new braunfels,"['\xca\x8f', '\xca\x8f', nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.94900000000000007, 0.72099999999999997, nan, nan, nan]",1586.11,"['117.19', '113.73', nan, nan, nan]","['119.73', '116.17', nan, nan, nan]","(2442.2349999999997, 503.435)","[nan, nan, nan, nan, nan]","['1-25-3-1-a', '1-25-3-16-a', nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', '5500 Hz', nan, nan, nan]","[2477.9099999999999, 2406.5599999999999, nan, nan, nan]",1932,m,"['b', 'b', 'v', 'k', 'k']","[483.97000000000003, 530.69000000000005, nan, nan, nan]","[1583.8599999999999, 1591.5999999999999, nan, nan, nan]","[2441.6599999999999, 2257.3099999999999, nan, nan, nan]","(1586.1100000000001, 503.435)"
30,"[nan, nan]","[nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-30-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-30-2-111-a.wav']","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]","[1, 111]",,"[nan, nan]","[72, 56]","[1, 1]","['\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",30,,"['1-30-2-1-a.wav', '1-30-2-111-a.wav']",new braunfels,"[nan, nan]","['die haarbuerste', 'ein gluehwuermchen']","[nan, nan]",,"[nan, nan]","[nan, nan]","(nan, nan)","[nan, nan]","[nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f']","[nan, nan]","[nan, nan]",1936,f,"['b', 'v']","[nan, nan]","[nan, nan]","[nan, nan]","(nan, nan)"
32,"[0.81200000000000006, 0.745]","[0.85699999999999998, 0.80900000000000005]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-32-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-32-2-111-a.wav']","[1687.47, 1599.9400000000001]","[0.79000000000000004, 0.71299999999999997]","[406.89999999999998, 477.42000000000002]","[0.067000000000000004, 0.096000000000000002]","[1, 111]",2201.015,"[10.0, 10.0]","[73, 57]","[1, 1]","['\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",32,442.16,"['1-32-2-1-a.wav', '1-32-2-111-a.wav']",new braunfels,"['\xca\x8f', '\xca\x8f']","['die haarbuerste', 'ein gluehwuermchen']","[0.83499999999999996, 0.77700000000000002]",1643.705,"['142.50', '128.22']","['140.07', '120.69']","(2201.0150000000003, 442.15999999999997)","[nan, nan]","['1-32-2-1-a', '1-32-2-111-a']","['a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f']","['5500 Hz', '5500 Hz']","[2266.9000000000001, 2135.1300000000001]",1924,m,"['b', 'v']","[422.72000000000003, 483.69999999999999]","[1655.79, 1576.9400000000001]","[2167.3099999999999, 2122.5900000000001]","(1643.7049999999999, 442.15999999999997)"
33,"[0.67299999999999993, nan, nan, nan]","[0.71499999999999997, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-33-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-33-2-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-33-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-33-2-125-a.wav']","[1650.8900000000001, nan, nan, nan]","[0.65200000000000002, nan, nan, nan]","[488.99000000000001, nan, nan, nan]","[0.063, nan, nan, nan]","[1, 16, 125, 125]",2220.58,"[10.0, nan, nan, nan]","[74, 34, 44, 44]","[1, 1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",33,488.99,"['1-33-2-1-a.wav', '1-33-2-16-a.wav', '1-33-2-125-a.wav', '1-33-2-125-a.wav']",new braunfels,"['\xca\x8f', nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein kuerbis', 'ein kuerbis']","[0.69400000000000006, nan, nan, nan]",1650.89,"['246.00', nan, nan, nan]","['249.64', nan, nan, nan]","(2220.5799999999999, 488.99000000000001)","[nan, nan, nan, nan]","['1-33-2-1-a', nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, nan, nan]","[2220.5799999999999, nan, nan, nan]",1919,f,"['b', 'b', 'k', 'k']","[503.55000000000001, nan, nan, nan]","[1668.3099999999999, nan, nan, nan]","[2245.1199999999999, nan, nan, nan]","(1650.8900000000001, 488.99000000000001)"
34,"[0.36899999999999999, nan, nan, 0.755, 0.91700000000000004]","[0.36899999999999999, nan, nan, 0.80299999999999994, 0.95799999999999996]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-34-3-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-34-3-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-34-3-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-34-3-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-34-3-125-a.wav']","[2288.8000000000002, nan, nan, 2090.3400000000001, 1780.3599999999999]","[0.36899999999999999, nan, nan, 0.73099999999999998, 0.89599999999999991]","[419.93000000000001, nan, nan, 518.5, 538.32000000000005]","[0.0, nan, nan, 0.072000000000000008, 0.060999999999999999]","[1, 16, 111, 125, 125]",2781.25666667,"[10.0, nan, nan, 10.0, 10.0]","[75, 35, 58, 45, 45]","[1, 1, 1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",34,492.25,"['1-34-3-1-a.wav', '1-34-3-16-a.wav', '1-34-3-111-a.wav', '1-34-3-125-a.wav', '1-34-3-125-a.wav']",new braunfels,"['\xca\x8f', nan, nan, '\xca\x8f', '\xc9\xaa']","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.36899999999999999, nan, nan, 0.77900000000000003, 0.93700000000000006]",2053.16666667,"['116.79', nan, nan, '169.38', '129.56']","['116.79', nan, nan, '165.68', '126.53']","(2781.2566666666667, 492.25)","[nan, nan, nan, nan, nan]","['1-34-3-1-a', nan, nan, '1-34-3-125-a', '1-34-3-125-a']","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, nan, '5500 Hz', '5500 Hz']","[3076.21, nan, nan, 2629.9000000000001, 2637.6599999999999]",1940,f,"['b', 'b', 'v', 'k', 'k']","[419.93000000000001, nan, nan, 517.50999999999999, 519.55999999999995]","[2288.8000000000002, nan, nan, 1908.5799999999999, 1803.3599999999999]","[3076.21, nan, nan, 2335.9400000000001, 2798.21]","(2053.1666666666665, 492.25)"
35,"[0.79099999999999993, nan]","[0.871, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-35-3-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-35-3-111-a.wav']","[1661.97, nan]","[0.75099999999999989, nan]","[438.80000000000001, nan]","[0.12, nan]","[1, 111]",2222.7,"[10.0, nan]","[76, 59]","[1, 1]","['\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",35,438.8,"['1-35-3-1-a.wav', '1-35-3-111-a.wav']",new braunfels,"['\xca\x8f', nan]","['die haarbuerste', 'ein gluehwuermchen']","[0.83099999999999996, nan]",1661.97,"['413.90', nan]","['--undefined--', nan]","(2222.6999999999998, 438.80000000000001)","[nan, nan]","['1-35-3-1-a', nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f']","['5500 Hz', nan]","[2222.6999999999998, nan]",1938,m,"['b', 'v']","[522.04999999999995, nan]","[1491.5699999999999, nan]","[2220.2199999999998, nan]","(1661.97, 438.80000000000001)"
56,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-56-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-56-2-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-56-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-56-2-125-a.wav']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[1, 21, 125, 125]",,"[nan, nan, nan, nan]","[17, 9, 12, 12]","[1, 1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",56,,"['1-56-2-1-a.wav', '1-56-2-21-a.wav', '1-56-2-125-a.wav', '1-56-2-125-a.wav']",doss,"[nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan, nan]",,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan]","[nan, nan, nan, nan]",1928,f,"['b', 'b', 'k', 'k']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)"
58,"[0.65400000000000003, 0.85999999999999999, nan, nan, nan, nan]","[0.71700000000000008, 0.93000000000000005, nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-58-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-58-2-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-58-2-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-58-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-58-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-58-2-125-a.wav']","[2049.0799999999999, 2168.73, nan, nan, nan, nan]","[0.623, 0.82499999999999996, nan, nan, nan, nan]","[486.04000000000002, 439.57999999999998, nan, nan, nan, nan]","[0.094, 0.10400000000000001, nan, nan, nan, nan]","[1, 16, 21, 111, 125, 125]",2502.74,"[10.0, 10.0, nan, nan, nan, nan]","[78, 36, 32, 61, 47, 47]","[1, 1, 1, 1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",58,462.81,"['1-58-2-1-a.wav', '1-58-2-16-a.wav', '1-58-2-21-a.wav', '1-58-2-111-a.wav', '1-58-2-125-a.wav', '1-58-2-125-a.wav']",new braunfels,"['\xca\x8f', '\xca\x8f', nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.68599999999999994, 0.89500000000000002, nan, nan, nan, nan]",2108.905,"['158.85', '158.63', nan, nan, nan, nan]","['162.56', '169.91', nan, nan, nan, nan]","(2502.7399999999998, 462.81)","[nan, nan, nan, nan, nan, nan]","['1-58-2-1-a', '1-58-2-16-a', nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', '5500 Hz', nan, nan, nan, nan]","[2504.8400000000001, 2500.6399999999999, nan, nan, nan, nan]",1916,m,"['b', 'b', 'b', 'v', 'k', 'k']","[529.53999999999996, 548.38999999999999, nan, nan, nan, nan]","[1974.5799999999999, 2024.96, nan, nan, nan, nan]","[2365.3299999999999, 2314.5900000000001, nan, nan, nan, nan]","(2108.9049999999997, 462.81)"
71,"[0.55899999999999994, nan, nan, nan, nan, nan]","[0.622, nan, nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/3-71-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/3-71-2-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/3-71-2-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/3-71-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/3-71-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/3-71-2-125-a.wav']","[2270.0, nan, nan, nan, nan, nan]","[0.52800000000000002, nan, nan, nan, nan, nan]","[654.94000000000005, nan, nan, nan, nan, nan]","[0.093000000000000013, nan, nan, nan, nan, nan]","[1, 16, 21, 111, 125, 125]",2663.98,"[10.0, nan, nan, nan, nan, nan]","[89, 44, 41, 72, 58, 58]","[3, 3, 3, 3, 3, 3]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",71,654.94,"['3-71-2-1-a.wav', '3-71-2-16-a.wav', '3-71-2-21-a.wav', '3-71-2-111-a.wav', '3-71-2-125-a.wav', '3-71-2-125-a.wav']",new braunfels,"['\xca\x8f', nan, nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.58999999999999997, nan, nan, nan, nan, nan]",2270.0,"['120.34', nan, nan, nan, nan, nan]","['117.28', nan, nan, nan, nan, nan]","(2663.98, 654.94000000000005)","[nan, nan, nan, nan, nan, nan]","['3-71-2-1-a', nan, nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, nan, nan, nan, nan]","[2663.98, nan, nan, nan, nan, nan]",1938,f,"['b', 'b', 'b', 'v', 'k', 'k']","[607.25999999999999, nan, nan, nan, nan, nan]","[2034.6099999999999, nan, nan, nan, nan, nan]","[2562.96, nan, nan, nan, nan, nan]","(2270.0, 654.94000000000005)"
